# bookings.txt
# Format: id|customerId|hallId|start|end|totalCost|status|createdAt
# start, end, createdAt use ISO-8601, e.g. 2026-09-01T08:00
# status: PAID | CANCELLED
B001|U001|H004|2002-10-22T08:00|2002-10-22T16:00|400.00|PAID|2002-10-22T08:00
B002|U001|H001|2026-06-12T09:00|2026-06-12T17:00|2400.00|PAID|2026-05-20T14:05
B003|U011|H002|2026-06-26T10:00|2026-06-26T16:00|600.00|PAID|2026-06-01T09:30
B004|U009|H003|2026-07-03T09:00|2026-07-03T12:00|150.00|PAID|2026-06-20T11:15
B005|U001|H002|2026-07-18T12:00|2026-07-18T18:00|600.00|PAID|2026-07-01T16:40
B006|U011|H001|2026-08-05T08:00|2026-08-05T18:00|3000.00|PAID|2026-07-15T10:00
B007|U009|H003|2026-08-12T14:00|2026-08-12T17:00|150.00|PAID|2026-08-01T08:45
B008|U001|H002|2026-08-20T10:00|2026-08-20T18:00|800.00|PAID|2026-08-10T13:20
B009|U011|H003|2026-08-28T09:00|2026-08-28T13:00|200.00|PAID|2026-08-14T15:10
B010|U009|H001|2026-09-05T08:00|2026-09-05T16:00|2400.00|PAID|2026-08-15T09:00
B011|U001|H004|2026-07-10T09:00|2026-07-10T11:00|100.00|CANCELLED|2026-06-25T12:00
B012|U013|H001|2026-08-23T09:00:00|2026-08-23T12:00:00|900.00|PAID|2026-08-16T18:56:58.5899404
